for dataset 0, runtime: 45.021644115448sec
for dataset 1, runtime: 46.33023810386658sec
for dataset 2, runtime: 47.99152588844299sec
for dataset 3, runtime: 37.56877517700195sec
for dataset 4, runtime: 42.10522818565369sec
for dataset 5, runtime: 23.146300077438354sec
for dataset 6, runtime: 93.12053394317627sec
for dataset 7, runtime: 46.61530685424805sec
for dataset 8, runtime: 45.91334390640259sec
for dataset 9, runtime: 47.83752202987671sec
for dataset 10, runtime: 37.92231202125549sec
for dataset 11, runtime: 41.703667879104614sec
for dataset 12, runtime: 23.60440707206726sec
for dataset 13, runtime: 93.99117708206177sec
for dataset 14, runtime: 46.9525089263916sec
for dataset 15, runtime: 49.03124499320984sec
for dataset 16, runtime: 46.58458399772644sec
for dataset 17, runtime: 38.63887095451355sec
for dataset 18, runtime: 42.790383100509644sec
for dataset 19, runtime: 22.57704997062683sec
for dataset 20, runtime: 88.6160500049591sec
for dataset 21, runtime: 44.411839962005615sec
for dataset 22, runtime: 46.33846712112427sec
for dataset 23, runtime: 44.52435493469238sec
for dataset 24, runtime: 37.5367488861084sec
for dataset 25, runtime: 40.6662061214447sec
for dataset 26, runtime: 22.94287395477295sec
for dataset 27, runtime: 90.78327512741089sec
for dataset 28, runtime: 45.65981316566467sec
for dataset 29, runtime: 44.666017055511475sec
for dataset 30, runtime: 45.711031913757324sec
for dataset 31, runtime: 37.263290882110596sec
for dataset 32, runtime: 42.30623698234558sec
for dataset 33, runtime: 22.96102809906006sec
for dataset 34, runtime: 90.14780497550964sec
for dataset 35, runtime: 44.34649991989136sec
for dataset 36, runtime: 44.270029067993164sec
for dataset 37, runtime: 44.25718402862549sec
for dataset 38, runtime: 36.04958987236023sec
for dataset 39, runtime: 40.71766710281372sec
for dataset 40, runtime: 22.867773056030273sec
for dataset 41, runtime: 91.70581197738647sec
for dataset 42, runtime: 45.547593116760254sec
for dataset 43, runtime: 46.15431785583496sec
for dataset 44, runtime: 42.339191198349sec
for dataset 45, runtime: 37.17385387420654sec
for dataset 46, runtime: 41.65283513069153sec
for dataset 47, runtime: 22.704493045806885sec
for dataset 48, runtime: 89.62201404571533sec
for dataset 49, runtime: 46.46531891822815sec
for dataset 50, runtime: 45.4771089553833sec
for dataset 51, runtime: 45.00374794006348sec
for dataset 52, runtime: 37.60006403923035sec
for dataset 53, runtime: 41.29736304283142sec
for dataset 54, runtime: 23.471675872802734sec
for dataset 55, runtime: 91.84905791282654sec
for dataset 56, runtime: 44.31061601638794sec
for dataset 57, runtime: 45.654069900512695sec
for dataset 58, runtime: 46.27249717712402sec
for dataset 59, runtime: 39.68590807914734sec
for dataset 60, runtime: 41.79624104499817sec
for dataset 61, runtime: 24.587346076965332sec
for dataset 62, runtime: 92.2289252281189sec
for dataset 63, runtime: 44.32631492614746sec
for dataset 64, runtime: 44.49184608459473sec
for dataset 65, runtime: 44.4882550239563sec
for dataset 66, runtime: 37.340713024139404sec
for dataset 67, runtime: 41.20589900016785sec
for dataset 68, runtime: 22.700087070465088sec
for dataset 69, runtime: 89.5300190448761sec
