for dataset 0, runtime: 368.458025932312sec
for dataset 1, runtime: 151.7263650894165sec
for dataset 2, runtime: 117.6989848613739sec
for dataset 3, runtime: 307.1568160057068sec
for dataset 4, runtime: 331.0545551776886sec
for dataset 5, runtime: 328.1691520214081sec
for dataset 6, runtime: 98.7084949016571sec
for dataset 7, runtime: 366.09134793281555sec
for dataset 8, runtime: 367.72113513946533sec
for dataset 9, runtime: 65.3111400604248sec
for dataset 10, runtime: 311.9352538585663sec
for dataset 11, runtime: 269.01049995422363sec
for dataset 12, runtime: 186.00341391563416sec
for dataset 13, runtime: 111.7190330028534sec
for dataset 14, runtime: 368.176518201828sec
for dataset 15, runtime: 363.0256690979004sec
for dataset 16, runtime: 87.09778618812561sec
for dataset 17, runtime: 301.4301679134369sec
for dataset 18, runtime: 181.60571384429932sec
for dataset 19, runtime: 317.93629693984985sec
for dataset 20, runtime: 115.32317209243774sec
for dataset 21, runtime: 360.2100200653076sec
for dataset 22, runtime: 305.24941396713257sec
for dataset 23, runtime: 72.31584095954895sec
for dataset 24, runtime: 299.17298412323sec
for dataset 25, runtime: 43.39319610595703sec
for dataset 26, runtime: 94.48451018333435sec
for dataset 27, runtime: 158.0752730369568sec
for dataset 28, runtime: 254.0412859916687sec
for dataset 29, runtime: 130.9391210079193sec
for dataset 30, runtime: 80.8974130153656sec
for dataset 31, runtime: 301.7816779613495sec
for dataset 32, runtime: 328.0360760688782sec
for dataset 33, runtime: 325.5195679664612sec
for dataset 34, runtime: 133.2940080165863sec
for dataset 35, runtime: 363.40055108070374sec
for dataset 36, runtime: 334.1393229961395sec
for dataset 37, runtime: 46.03863000869751sec
for dataset 38, runtime: 307.2836229801178sec
for dataset 39, runtime: 45.073508977890015sec
for dataset 40, runtime: 319.76317501068115sec
for dataset 41, runtime: 125.1968641281128sec
for dataset 42, runtime: 361.3535490036011sec
for dataset 43, runtime: 345.12456583976746sec
for dataset 44, runtime: 308.15972805023193sec
for dataset 45, runtime: 311.22703099250793sec
for dataset 46, runtime: 332.47129702568054sec
for dataset 47, runtime: 325.67323207855225sec
for dataset 48, runtime: 123.51227188110352sec
for dataset 49, runtime: 364.1542580127716sec
for dataset 50, runtime: 365.0552818775177sec
for dataset 51, runtime: 66.49676513671875sec
for dataset 52, runtime: 300.38922905921936sec
for dataset 53, runtime: 101.52859997749329sec
for dataset 54, runtime: 316.64533495903015sec
for dataset 55, runtime: 92.79636597633362sec
for dataset 56, runtime: 358.3688061237335sec
for dataset 57, runtime: 357.10599088668823sec
for dataset 58, runtime: 76.56726312637329sec
for dataset 59, runtime: 302.76895809173584sec
for dataset 60, runtime: 138.03364181518555sec
for dataset 61, runtime: 319.044273853302sec
for dataset 62, runtime: 92.42548990249634sec
for dataset 63, runtime: 83.55663514137268sec
for dataset 64, runtime: 358.0866298675537sec
for dataset 65, runtime: 189.61656093597412sec
for dataset 66, runtime: 300.90758204460144sec
for dataset 67, runtime: 328.63482213020325sec
for dataset 68, runtime: 344.6337330341339sec
for dataset 69, runtime: 103.15762615203857sec
